2025-12-02 16:13:32, 00001, 23, 0.3395, 0.3251, 0.4604, 2, 35.24, 2, 0.7007, 0.5790, 0.5162, 0.9592, 0.6558, 0.4742
2025-12-02 16:14:20, 00002, 20, 0.4043, 0.1340, 0.3077, 5, 45.85, 4, 0.7100, 0.3262, 0.7916, 0.8885, 0.7330, 0.7391
2025-12-02 16:15:08, 00003, 29, 0.3456, 0.2018, 0.5199, 6, 45.69, 3, 0.7738, 0.4089, 0.7009, 0.8317, 0.5629, 0.4692
2025-12-02 16:15:49, 00004, 17, 0.3437, 0.1562, 0.2765, 4, 38.30, 2, 0.8645, 0.2301, 0.7402, 0.9566, 0.9304, 0.5648
2025-12-02 16:16:25, 00005, 23, 0.4729, 0.0747, 0.4602, 4, 33.65, 2, 0.4883, 0.6355, 0.9142, 0.8116, 0.5834, 0.6077
2025-12-02 16:17:11, 00006, 28, 0.3024, 0.2123, 0.3685, 7, 44.58, 2, 0.7535, 0.5932, 0.6617, 0.9442, 0.6518, 0.7202
2025-12-02 16:18:04, 00007, 19, 0.4251, 0.2112, 0.3659, 9, 50.42, 5, 0.6365, 0.4224, 0.6831, 0.8513, 0.5733, 0.8406
2025-12-02 16:18:58, 00008, 25, 0.3048, 0.2964, 0.4310, 7, 51.41, 5, 0.7906, 0.5162, 0.5633, 0.8844, 0.4795, 0.8603
2025-12-02 16:19:46, 00009, 22, 0.3308, 0.3932, 0.4120, 6, 45.50, 4, 0.6863, 0.6351, 0.4416, 0.9577, 0.5617, 0.7633
2025-12-02 16:20:28, 00010, 23, 0.3857, 0.3961, 0.3445, 5, 38.93, 2, 0.6539, 0.5249, 0.4502, 0.8756, 0.6872, 0.7221
2025-12-02 16:21:19, 00011, 35, 0.3408, 0.3010, 0.3088, 7, 48.18, 4, 0.8291, 0.3137, 0.5432, 0.9670, 0.5944, 0.9148
2025-12-02 16:22:00, 00012, 21, 0.3228, 0.2471, 0.3559, 2, 37.78, 2, 0.7031, 0.6266, 0.6095, 0.9711, 0.6255, 0.7851
2025-12-02 16:22:49, 00013, 27, 0.4593, 0.2132, 0.3979, 8, 46.77, 5, 0.5431, 0.5342, 0.6603, 0.9448, 0.5168, 0.8645
2025-12-02 16:23:30, 00014, 28, 0.3387, 0.1892, 0.3380, 8, 39.07, 2, 0.7205, 0.5415, 0.6905, 0.9608, 0.6326, 0.8110
2025-12-02 16:24:23, 00015, 21, 0.3249, 0.1210, 0.4669, 6, 49.61, 4, 0.6199, 0.7835, 0.8106, 0.8973, 0.6307, 0.5009
2025-12-02 16:24:56, 00016, 23, 0.3602, 0.1289, 0.3638, 2, 31.04, 1, 0.7663, 0.3710, 0.8328, 0.7584, 0.9725, 0.2638
2025-12-02 16:25:48, 00017, 19, 0.4905, 0.1285, 0.3955, 4, 48.65, 5, 0.5229, 0.4702, 0.8133, 0.8384, 0.7309, 0.5337
2025-12-02 16:26:41, 00018, 21, 0.4000, 0.2227, 0.5288, 6, 49.67, 5, 0.6209, 0.5514, 0.6530, 0.9169, 0.4465, 0.6955
2025-12-02 16:27:16, 00019, 20, 0.3976, 0.1109, 0.2540, 2, 32.00, 1, 0.7260, 0.3155, 0.8338, 0.8725, 0.8549, 0.7034
2025-12-02 16:28:04, 00020, 31, 0.3400, 0.3547, 0.3255, 3, 44.86, 3, 0.6241, 0.7329, 0.4824, 0.9608, 0.7233, 0.7142
2025-12-02 16:28:53, 00021, 35, 0.3916, 0.3589, 0.4748, 4, 45.34, 3, 0.5986, 0.6310, 0.4787, 0.9551, 0.5278, 0.6730
2025-12-02 16:29:33, 00022, 31, 0.3246, 0.1652, 0.3354, 3, 36.24, 2, 0.8005, 0.4303, 0.7390, 0.9040, 0.8400, 0.5333
2025-12-02 16:30:13, 00023, 29, 0.2984, 0.1529, 0.4019, 6, 37.81, 2, 0.7420, 0.6268, 0.7463, 0.9520, 0.5987, 0.7264
2025-12-02 16:31:06, 00024, 20, 0.3079, 0.2135, 0.2188, 6, 49.56, 4, 0.7537, 0.5757, 0.6792, 0.8544, 0.7272, 0.9086
2025-12-02 16:31:47, 00025, 28, 0.3334, 0.4024, 0.3575, 8, 37.39, 2, 0.7693, 0.4611, 0.4309, 0.9659, 0.6585, 0.7345
2025-12-02 16:32:32, 00026, 30, 0.3957, 0.2027, 0.3919, 4, 41.30, 3, 0.5723, 0.6782, 0.6771, 0.9350, 0.6924, 0.6031
2025-12-02 16:33:17, 00027, 35, 0.3352, 0.1831, 0.3247, 2, 41.25, 3, 0.8269, 0.3390, 0.7760, 0.6226, 0.8949, 0.4875
2025-12-02 16:34:05, 00028, 30, 0.3680, 0.3339, 0.3717, 6, 44.24, 3, 0.6081, 0.6839, 0.5042, 0.9711, 0.5290, 0.8949
2025-12-02 16:34:52, 00029, 34, 0.3350, 0.2074, 0.3918, 8, 44.68, 3, 0.7558, 0.4828, 0.6673, 0.9499, 0.5489, 0.8263
2025-12-02 16:35:44, 00030, 26, 0.3355, 0.2671, 0.6050, 2, 49.40, 5, 0.7254, 0.5421, 0.5969, 0.9024, 0.2810, 0.9038
2025-12-02 16:36:19, 00031, 35, 0.6025, 0.2991, 0.3503, 2, 31.59, 1, 0.3143, 0.7329, 0.5622, 0.8725, 0.8903, 0.4228
2025-12-02 16:37:05, 00032, 27, 0.3578, 0.2004, 0.4650, 2, 43.57, 3, 0.6565, 0.6120, 0.7163, 0.7708, 0.7746, 0.2392
2025-12-02 16:37:55, 00033, 20, 0.3291, 0.4507, 0.4256, 8, 45.53, 3, 0.8696, 0.2772, 0.3890, 0.9164, 0.5929, 0.6802
2025-12-02 16:38:36, 00034, 19, 0.2878, 0.2509, 0.5320, 6, 37.25, 1, 0.8975, 0.3771, 0.6054, 0.9664, 0.4236, 0.7376
2025-12-02 16:39:34, 00035, 35, 0.3193, 0.2546, 0.4349, 6, 54.13, 5, 0.7606, 0.5259, 0.5966, 0.9876, 0.5308, 0.7639
2025-12-02 16:40:20, 00036, 34, 0.3231, 0.1916, 0.4198, 8, 41.05, 3, 0.8299, 0.3779, 0.6881, 0.9566, 0.6274, 0.6369
2025-12-02 16:41:14, 00037, 29, 0.2923, 0.2352, 0.4091, 6, 50.92, 5, 0.7367, 0.6549, 0.6315, 0.9396, 0.5932, 0.7188
2025-12-02 16:42:03, 00038, 31, 0.3177, 0.2457, 0.4710, 9, 44.34, 2, 0.8230, 0.4105, 0.6162, 0.9463, 0.5870, 0.5708
2025-12-02 16:42:49, 00039, 24, 0.3080, 0.1273, 0.4399, 5, 41.78, 2, 0.7914, 0.5041, 0.7946, 0.9195, 0.5571, 0.7067
2025-12-02 16:43:49, 00040, 29, 0.2762, 0.2568, 0.4035, 5, 54.99, 5, 0.8645, 0.4759, 0.6005, 0.9530, 0.5657, 0.7753
2025-12-02 16:44:43, 00041, 28, 0.4876, 0.7575, 0.4815, 2, 51.20, 5, 0.4301, 0.7513, 0.1399, 0.9582, 0.4698, 0.7677
2025-12-02 16:45:23, 00042, 19, 0.4713, 0.0908, 0.2610, 9, 34.97, 1, 0.5547, 0.4561, 0.8511, 0.9360, 0.7813, 0.7739
2025-12-02 16:46:19, 00043, 18, 0.4610, 0.1433, 0.3545, 2, 51.63, 5, 0.6241, 0.3084, 0.8024, 0.7842, 0.6885, 0.6982
2025-12-02 16:47:16, 00044, 17, 0.3847, 0.1311, 0.3123, 7, 51.94, 4, 0.7110, 0.4000, 0.7912, 0.9086, 0.7043, 0.7666
2025-12-02 16:47:58, 00045, 28, 0.3396, 0.1443, 0.2799, 4, 37.60, 1, 0.6669, 0.6472, 0.7787, 0.8740, 0.7764, 0.7422
2025-12-02 16:48:46, 00046, 20, 0.6454, 0.4114, 0.3465, 5, 42.94, 2, 0.2780, 0.7104, 0.4319, 0.8916, 0.7138, 0.6806
2025-12-02 16:49:45, 00047, 19, 0.4033, 0.0976, 0.4082, 7, 53.62, 4, 0.6401, 0.4947, 0.8518, 0.8906, 0.5696, 0.7588
2025-12-02 16:50:38, 00048, 34, 0.4324, 0.1340, 0.3774, 5, 47.77, 2, 0.5053, 0.7246, 0.7880, 0.9029, 0.7282, 0.5855
2025-12-02 16:51:24, 00049, 17, 0.3715, 0.1214, 0.3751, 6, 41.01, 1, 0.6802, 0.5156, 0.8016, 0.9298, 0.6512, 0.7061
